Major Country,Began,,,Ended,,,Death,Affected population,Homeless,Damage (USD if no units),Adjusted Damage to 2002,Reference,,,,,
,Year,Month,Day,Year,Month,Day,,,,,,,,,,,
Australia,2007,6,8,2007,6,12,9,5000,,"1,300,000,000","1,368,421,053",EM-DAT,,,,,
Australia,2007,6,27,2007,7,4,1,,,"60,000,000","63,157,895",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Australia,2008,1,3,2008,1,9,1,,,"100,000,000","101,010,101",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Australia,2008,1,14,2008,2,1,0,3200,,"600,000,000","606,060,606",EM-DAT,,,,,
Australia,2008,2,13,2008,2,26,2,1000,,"1,100,000,000","1,111,111,111",EM-DAT,,,,,
Australia,2008,11,20,2008,11,23,4,1200,,"275,000,000","277,777,778",EM-DAT,,,,,
Australia,2008,12,28,2009,1,12,,,,"4,000,000","4,081,633",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Australia,2009,1,13,2009,2,25,7,9000,,"150,000,000","153,061,224",EM-DAT,,,,,
Australia,2010,2,28,2010,3,17,0,0,,"109,000,000","109,000,000",EM-DAT,,,,,
Australia,2010,12,25,2011,2,4,35,175000,,"7,300,000,000","7,087,378,641",EM-DAT,,,,,
Australia,2012,1,22,2012,3,7,2,13000,,"225,000,000","214,285,714",EM-DAT,,,,,
Australia,2012,2,24,2012,3,16,2,3000,,"363,000,000","345,714,286",EM-DAT,,,,,
Australia,2000,12,15,2001,1,9,,,,"24,000,000","29,629,630",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Australia,2003,1,22,2003,3,6,0,,,"2,000,000","2,380,952",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Australia - Cyclone Joy,1990,12,25,1991,1,16,6,,,"80,000,000",129032258.1,Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Australia - Cyclone Rona,1999,2,6,1999,2,12,7,,,"300,000,000","394,736,842",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Austria,1991,8,2,1991,8,6,5,0,,"82,000,000","132,258,065",EM-DAT,,,,,
Austria,1995,6,27,1995,6,27,2,0,,"200,000","285,714",EM-DAT,,,,,
Austria,1996,6,19,1996,6,23,0,0,,"5,000,000","6,944,444",EM-DAT,,,,,
Austria,1997,7,8,1997,7,22,3,0,,"175,000,000","236,486,486",EM-DAT,,,,,
Austria,2002,8,12,2002,8,20,9,60000,,"2,400,000,000","2,926,829,268",EM-DAT,,,,,
Austria,2005,8,21,2005,8,26,4,0,,"700,000,000","777,777,778",EM-DAT,,,,,
Austria,2009,6,22,2009,6,28,1,0,,"200,000,000","204,081,633",EM-DAT,,,,,
Austria,2013,6,2,2013,6,3,4,200,,"1,000,000,000","934,579,439",EM-DAT,,,,,
Azerbaijan,1995,6,15,1995,6,25,0,1650000,,"6,700,000","9,571,429",EM-DAT,,,,,
Azerbaijan,1995,6,21,1995,6,21,0,2800,,"5,500,000","7,857,143",EM-DAT,,,,,
Azerbaijan,1995,10,5,1995,10,5,5,6000,,"4,000,000","5,714,286",EM-DAT,,,,,
Azerbaijan,1997,6,5,1997,6,5,11,75000,,"25,000,000","33,783,784",EM-DAT,,,,,
Azerbaijan,2003,4,16,2003,6,4,0,31500,,"55,000,000","65,476,190",EM-DAT,,,,,
Bahamas,2013,5,22,2013,5,22,0,1000,,"45,000,000","42,056,075",EM-DAT,,,,,
Bangladesh,1964,7,,1964,7,1,0,"1,000,000","1,000,000","5,000,000","35,714,286",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Bangladesh,1966,6,,1966,8,1,39,"500,000","500,000","1,000,000","6,666,667",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Bangladesh,1968,7,,1968,10,1,221,"14,910,892","878,724","199,400,000","1,246,250,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Bangladesh,1970,7,,1970,7,8,0,"10,000,000","1,000,000","25,000,000","138,888,889",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Bangladesh,1974,7,,1974,7,,28700,38000000,,"579,200,000","2,518,260,870",EM-DAT,,,,,
Bangladesh,1980,8,,1980,8,,655,10000000,,"150,000,000","394,736,842",EM-DAT,,,,,
