Major Country,Began,,,Ended,,,Death,Affected population,Homeless,Damage (USD if no units),Adjusted Damage to 2002,Reference,,,,,
,Year,Month,Day,Year,Month,Day,,,,,,,,,,,
Sri Lanka,1986,1,,1986,1,,43,64485,,"934,000","1,868,000",EM-DAT,,,,,
Sri Lanka,1989,5,30,1989,6,1,325,"300,000","200,000","35,000,000","61,403,509",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Sri Lanka,1991,6,2,1991,6,6,27,297151,,"30,000,000","48,387,097",EM-DAT,,,,,
Sri Lanka,1992,6,5,1992,6,8,14,250000,,"250,000,000","390,625,000",EM-DAT,,,,,
Sri Lanka,1992,12,,1992,12,,1,405950,,"2,750,000","4,296,875",EM-DAT,,,,,
Sri Lanka,1993,5,28,1993,6,7,8,180000,,"310,000","469,697",EM-DAT,,,,,
Sri Lanka,1995,5,7,1995,5,11,3,120000,,"400,000","571,429",EM-DAT,,,,,
Sri Lanka,1997,9,13,1997,9,19,10,5000,,"420,000","567,568",EM-DAT,,,,,
Sri Lanka,2000,11,18,2000,11,22,3,300000,,"3,000,000","3,797,468",EM-DAT,,,,,
Sri Lanka,2003,5,17,2003,5,26,235,695000,,"29,000,000","34,523,810",EM-DAT,,,,,
Sri Lanka,2006,10,26,2006,11,20,25,333002,,"3,000,000","3,260,870",EM-DAT,,,,,
Sri Lanka,2007,5,2,2007,5,7,15,121000,,"50,000","52,632",EM-DAT,,,,,
Sri Lanka,2010,5,14,2010,5,20,28,606072,,"105,000,000","105,000,000",EM-DAT,,,,,
Sri Lanka,2011,1,5,2011,1,18,47,1060324,,"200,000,000","194,174,757",EM-DAT,,,,,
Sri Lanka,2011,2,1,2011,2,10,18,225000,,"300,000,000","291,262,136",EM-DAT,,,,,
Sri Lanka,2012,12,17,2012,12,19,53,447021,,"1,200,000","1,142,857",EM-DAT,,,,,
St Kitts and Nevis,1987,5,,1987,5,,0,0,,"500,000","961,538",EM-DAT,,,,,
St Vincent and the Grenadines,1987,9,,1987,9,,0,1000,,"5,000,000","9,615,385",EM-DAT,,,,,
St Vincent and the Grenadines,2013,12,23,2013,12,25,12,17422,,"108,000,000","100,934,579",EM-DAT,,,,,
Sudan,1978,7,,1978,7,26,34,"100,000",,"25,000,000","83,333,333",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Sudan,1988,8,5,1988,9,10,91,,,"200,000,000","370,370,370",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Sudan,1993,4,16,1993,4,16,21,2000,,"200,000","303,030",EM-DAT,,,,,
Sudan,1997,7,25,1997,7,30,5,,,"180,000","243,243",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Sudan,1998,8,28,1998,9,10,103,1000000,,"40,000,000","53,333,333",EM-DAT,,,,,
Sudan,2001,8,6,2001,9,13,3,97000,,"2,000,000","2,469,136",EM-DAT,,,,,
Sudan,2003,7,28,2003,8,21,20,325056,,"184,000,000","219,047,619",EM-DAT,,,,,
Sudan,2007,7,3,2007,10,8,150,565335,,"300,000,000","315,789,474",EM-DAT,,,,,
Sudan,2013,8,1,2013,8,21,76,500133,,"7,000,000","6,542,056",EM-DAT,,,,,
Suriname,1969,8,,1969,8,,,"4,600",,"50,000","294,118",EM-DAT,,,,,
Swaziland,2000,1,,2000,1,,0,272000,,"50,000","63,291",EM-DAT,,,,,
Sweden,1977,5,,1977,5,,0,0,,"170,000,000","607,142,857",EM-DAT,,,,,
Sweden,1985,9,13,1985,9,13,11,0,,"5,800,000","11,836,735",EM-DAT,,,,,
Switzerland,1997,8,17,1997,8,17,0,0,,"68,500,000","92,567,568",EM-DAT,,,,,
Switzerland,2005,8,21,2005,8,26,6,2500,,"2,100,000,000","2,333,333,333",EM-DAT,,,,,
Switzerland,2007,8,8,2007,8,12,1,101,,"350,000,000","368,421,053",EM-DAT,,,,,
"Switzerland, Germany, Austria, France",1999,5,12,1999,5,17,2,,,"33,000,000","43,421,053",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Syria,1967,4,23,,,,0,"40,000","40,000","5,000,000","33,333,333",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Syria,1974,3,,1974,3,29,,"130,000","75,000","39,000,000","169,565,217",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Taiwan,1988,8,14,1988,8,17,15,,,"125,000,000","231,481,481",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Taiwan,1988,9,21,1988,10,3,0,,,"14,170,816","26,242,251",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Taiwan,1989,7,26,1989,7,30,16,,,"47,320,000","83,017,544",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Taiwan,2001,7,11,2001,7,13,5,,,"5,700,000","7,037,037",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Taiwan,2001,9,16,2001,9,20,90,,,"200,000,000","246,913,580",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Taiwan,2005,7,16,2005,7,20,17,,,"300,000,000","333,333,333",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Taiwan,2005,9,1,2005,9,4,129,,,"960,000,000","1,066,666,667",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Taiwan,2007,10,6,2007,10,10,18,,,"35,000,000","36,842,105",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Taiwan - Typhoon Caitlin,1994,8,1,1994,8,4,10,,,"100,000,000","147,058,824",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Taiwan - Typhoon Doug,1994,8,7,1994,8,16,9,,,"148,000,000","217,647,059",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Taiwan - Typhoon Sarah,1989,9,12,1989,9,17,11,,,"36,400,000","63,859,649",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Taiwan -Typhoon Babs,1998,10,23,1998,10,24,156,,,"55,000,000","73,333,333",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Taiwan (China),1977,6,10,1977,6,10,18,20000,,"1,000,000","3,571,429",EM-DAT,,,,,
Taiwan (China),1997,8,5,1997,8,5,10,0,,"58,300,000","78,783,784",EM-DAT,,,,,
Taiwan (China),1998,6,1,1998,6,8,3,300,,"19,000,000","25,333,333",EM-DAT,,,,,
Taiwan (China),2005,6,11,2005,6,17,16,2700,,"62,000,000","68,888,889",EM-DAT,,,,,
Taiwan (China),2006,6,10,2006,6,13,3,300,,"116,130,000","126,228,261",EM-DAT,,,,,
Taiwan (China),2012,6,9,2012,6,12,6,35000,,"16,900,000","16,095,238",EM-DAT,,,,,
Tajikistan,1992,4,15,1992,6,9,200,,,"2,000,000","3,125,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Tajikistan,1992,5,14,1992,5,24,"1,346","63,500",,"300,000,000","468,750,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Tajikistan,1993,5,7,1993,5,8,,,,"8,400,000","12,727,273",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Tajikistan,1998,4,24,1998,5,7,203,,,"66,000,000","88,000,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Tajikistan,1999,7,7,1999,7,12,27,9392,,"6,154,000","8,097,368",EM-DAT,,,,,
Tajikistan,2002,8,7,2002,8,8,24,1713,,"2,836,000","3,458,537",EM-DAT,,,,,
Tajikistan,2003,4,13,2003,4,25,1,,,"41,000,000","48,809,524",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Tajikistan,2003,6,6,2003,6,10,6,1755,,"20,000,000","23,809,524",EM-DAT,,,,,
Tajikistan,2004,7,13,2004,7,14,0,400000,,"12,000,000","13,793,103",EM-DAT,,,,,
Tajikistan,2005,7,23,2005,7,23,0,1890,,"50,000,000","55,555,556",EM-DAT,,,,,
Tajikistan,2009,4,21,2009,6,1,21,15000,,"1,000,000","1,020,408",EM-DAT,,,,,
Tajikistan,2010,5,6,2010,5,10,73,6708,,"204,000,000","204,000,000",EM-DAT,,,,,
Tajikistan,2012,2,,2012,5,,0,5556,,"760,000","723,810",EM-DAT,,,,,
Tanzania,1968,3,,1968,6,20,40,"57,000","57,000","1,000,000","6,250,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Tanzania,1974,5,,1974,5,1,25,"50,000","18,000","3,000,000","13,043,478",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Tanzania,2006,2,3,2006,2,12,1,,,"390,000","423,913",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Tanzania Uni Rep,1990,4,3,1990,4,10,183,162000,,"280,000",466666.6667,EM-DAT,,,,,
Tanzania Uni Rep,1993,2,8,1993,2,12,54,,,"3,500,000","5,303,030",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand,1966,9,,1966,9,2,6,"200,000","5,000","1,000,000","6,666,667",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Thailand,1975,1,3,1975,1,3,239,3000093,,"45,000,000","180,000,000","EM-DAT,Significant Data on Major…",,,,,
Thailand,1978,8,,1978,10,7,96,"1,628,000",,"400,000,000","1,333,333,333",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Thailand,1980,10,3,1980,10,3,57,630000,,"59,700,000","157,105,263",EM-DAT,,,,,
Thailand,1984,1,19,1984,1,19,0,751600,,"400,000,000","833,333,333",EM-DAT,,,,,
Thailand,1984,12,,1984,12,,17,34571,,"3,000,000","6,250,000",EM-DAT,,,,,
Thailand,1985,10,12,1985,10,12,18,7640,,"3,600,000","7,346,939",EM-DAT,,,,,
Thailand,1986,5,9,1986,5,12,32,,,3850000,"7,700,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand,1986,8,15,1986,8,22,150,,,"717,000,000","1,434,000,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand,1987,11,30,1987,11,30,24,0,,"7,200,000","13,846,154",EM-DAT,,,,,
Thailand,1988,11,19,1988,11,27,664,1114819,,169146000,"313,233,333",EM-DAT,,,,,
Thailand,1991,9,5,1991,9,8,16,,,"6,400,000","10,322,581",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand,1991,10,26,1991,10,26,1,14574,,"1,478,000","2,383,871",EM-DAT,,,,,
Thailand,1993,10,31,1993,10,31,4,302862,,"319,850,000","484,621,212",EM-DAT,,,,,
Thailand,1993,11,27,1993,12,2,23,393809,,"1,261,000,000","1,910,606,061",EM-DAT,,,,,
Thailand,1993,12,,1993,12,,14,192674,,"400,100,000","606,212,121",EM-DAT,,,,,
Thailand,1994,7,,1994,7,,60,59000,,"238,000,000","350,000,000",EM-DAT,,,,,
Thailand,1994,9,3,1994,12,18,407,,,"208,000,000","305,882,353",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand,1994,10,21,1994,10,21,11,112257,,"30,000,000","44,117,647",EM-DAT,,,,,
Thailand,1995,8,1,1995,11,9,231,4280984,,"140,500,000","200,714,286",EM-DAT,,,,,
Thailand,1996,6,30,1996,10,22,91,5000000,,"500,000","694,444",EM-DAT,,,,,
Thailand,1997,8,19,1997,9,1,46,,,"268,000,000","362,162,162",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand,1999,7,24,1999,8,5,7,90700,,"13,000,000","17,105,263",EM-DAT,,,,,
Thailand,1999,12,23,1999,12,23,0,200,,"267,000","351,316",EM-DAT,,,,,
Thailand,2000,7,,2000,7,,47,2500000,,"51,050,000","64,620,253",EM-DAT,,,,,
Thailand,2000,8,21,2000,8,28,14,,,"21,500,000","27,215,190",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand,2000,9,,2000,9,,9,12500,,"506,000","640,506",EM-DAT,,,,,
Thailand,2000,11,21,2000,11,21,51,808801,,"57,500,000","72,784,810",EM-DAT,,,,,
Thailand,2001,5,4,2001,5,5,83,4130,,"4,000,000","4,938,272",EM-DAT,,,,,
Thailand,2001,8,10,2001,8,25,173,,,"26,400,000","32,592,593",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand,2002,8,18,2002,11,26,65,,,"32,000,000","39,024,390",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand,2002,10,,2002,10,,154,3289420,,"35,827,000","43,691,463",EM-DAT,,,,,
Thailand,2003,9,12,2003,10,12,7,,,"3,690,000","4,392,857",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand,2003,10,15,2003,10,15,3,3000,,"25,000,000","29,761,905",EM-DAT,,,,,
Thailand,2003,12,11,2003,12,11,6,104700,,"1,400,000","1,666,667",EM-DAT,,,,,
Thailand,2004,12,10,2004,12,18,2,5000,,"175,000,000","201,149,425",EM-DAT,,,,,
Thailand,2005,8,13,2005,8,31,21,119310,,"121,000,000","134,444,444",EM-DAT,,,,,
Thailand,2005,11,23,2006,1,12,55,700000,,"97,000,000","107,777,778",EM-DAT,,,,,
Thailand,2006,5,22,2006,6,11,116,342895,,"25,000,000","27,173,913",EM-DAT,,,,,
Thailand,2006,8,20,2006,12,13,164,2212413,,"9,940,000","10,804,348",EM-DAT,,,,,
Thailand,2007,10,22,2007,10,29,2,100000,,"1,500,000","1,578,947",EM-DAT,,,,,
Thailand,2008,8,11,2008,8,20,130,,,"6,650,000","6,717,172",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand,2008,9,11,2008,10,4,,,,"8,000,000","8,080,808",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html;http://www.irinnews.org/report/80360/thailand-flash-floods-continue-to-batter-farmlands,,,,,
Thailand,2008,9,13,2008,10,7,18,839573,,"16,000,000","16,161,616",EM-DAT,,,,,
Thailand,2008,11,20,2008,12,20,21,700000,,"11,500,000","11,616,162",EM-DAT,,,,,
Thailand,2008,12,29,2009,1,19,0,32584,,"344,000","351,020",EM-DAT,,,,,
Thailand,2010,10,10,2010,12,10,258,8970653,,"332,000,000","332,000,000",EM-DAT,,,,,
Thailand,2011,3,23,2011,4,5,64,716110,,"317,000,000","307,766,990",EM-DAT,,,,,
Thailand,2011,8,5,2012,1,4,813,9500000,,"40,000,000,000","38,834,951,456",EM-DAT,,,,,
Thailand,2013,7,25,2013,7,27,0,0,,"97,000,000","90,654,206",EM-DAT,,,,,
Thailand,2013,9,30,2013,10,14,61,3500000,,"482,000,000","450,467,290",EM-DAT,,,,,
Thailand,2014,9,1,2014,9,8,10,73260,,"10,000,000","9,174,312",EM-DAT,,,,,
Thailand,1988,9,18,1988,10,5,19,,,"1,200,000","2,222,222",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand,2001,9,10,2001,9,12,,,,"11,110,000","13,716,049",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand,2001,12,24,2001,12,24,,,,"296,800","366,420",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand -  Typhoons Ira and Lola,1990,10,8,1990,10,26,11,,,"400,000,000",666666666.7,Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand - Typhoon Gay,1989,11,3,1989,11,10,304,,,"13,900,000","24,385,965",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand - Typhoon Harry,1994,8,30,1994,9,7,10,,,"12,000,000","17,647,059",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Thailand - Typhoons Gloria and Frankie,1996,7,18,1996,8,21,29,,,"13,500,000","18,750,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Tiawan,2000,11,1,2000,11,4,58,,,"77,000,000","97,468,354",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Tiawan,2001,7,29,2001,7,30,78,,,"20,000,000","24,691,358",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Tiawan(China),1993,6,2,1993,6,6,10,,,"53,000,000","80,303,030",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Trinidad,2002,11,5,2002,11,20,3,,,"3,300,000","4,024,390",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Trinidad,2006,1,14,2006,1,17,0,,,"2,500,000","2,717,391",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Trinidad and Tobago,1993,10,5,1993,10,5,5,10,,"70,000","106,061",EM-DAT,,,,,
Tunisia,1964,10,30,1964,11,1,44,"5,000","5,000","3,000","21,429",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Tunisia,1969,9,24,1969,9,27,540,"271,269",,"100,000,000","588,235,294",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Tunisia,1973,3,21,1973,3,28,52,"41,000","41,000","5,000,000","25,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Tunisia,1982,10,28,1982,11,3,117,"30,000",,"90,000,000","204,545,455",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Tunisia,1990,1,20,1990,2,1,25,,,"233,000,000",388333333.3,Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Turkey,1980,3,,1980,3,,75,60000,,"15,000,000","39,473,684",EM-DAT,,,,,
Turkey,1990,6,18,1990,6,21,51,4500,,"150,000,000",250000000,EM-DAT,,,,,
Turkey,1991,5,16,1991,5,17,42,,,"25,000,000","40,322,581",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Turkey,1995,5,2,1995,5,2,0,201,,"23,500,000","33,571,429",EM-DAT,,,,,
Turkey,1995,11,4,1995,11,8,63,306617,,"50,000,000","71,428,571",EM-DAT,,,,,
Turkey,1998,5,20,1998,5,23,10,1240047,,"1,000,000,000","1,333,333,333",EM-DAT,,,,,
Turkey,2000,5,27,2000,5,27,2,1000,,"40,000,000","50,632,911",EM-DAT,,,,,
Turkey,2001,12,2,2001,12,9,5,570,,"25,000,000","30,864,198",EM-DAT,,,,,
Turkey,2006,10,27,2006,11,7,47,63015,,"317,000,000","344,565,217",EM-DAT,,,,,
Turkey,2009,9,7,2009,9,10,40,35020,,"550,000,000","561,224,490",EM-DAT,,,,,
"Turkey, Egypt",1992,2,20,1992,2,26,200,,,"100,000,000","156,250,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Turkmenistan,1993,1,,1993,1,,0,420,,"99,870,000","151,318,182",EM-DAT,,,,,
Uganda,1997,11,14,1997,11,28,100,153500,,"1,000,000","1,351,351",EM-DAT,,,,,
Uganda,2007,8,15,2007,10,31,29,718045,,"71,000","74,737",EM-DAT,,,,,
Uganda,2013,5,1,2013,5,5,13,25445,,"3,100,000","2,897,196",EM-DAT,,,,,
UK,1989,1,15,1989,1,25,35,,,"341,200","598,596",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
UK,2000,10,29,2000,11,10,13,,,"3,000,000,000","3,797,468,354",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
UK,2007,6,25,2007,7,3,6,,,"2,420,000,000","2,547,368,421","Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html.UK.GOV,http://riskinc.com/Publications/UK_Summer_2007_Floods.pdf",,,,,
UK,1993,6,11,1993,6,13,8,,,"30,000,000","45,454,545",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Ukraine,1993,7,25,1993,8,12,4,300000,,"80,000,000","121,212,121",EM-DAT,,,,,
Ukraine,1993,12,20,1993,12,24,5,25000,,"159,000,000","240,909,091",EM-DAT,,,,,
Ukraine,1997,7,4,1997,8,9,0,0,,"17,000,000","22,972,973",EM-DAT,,,,,
Ukraine,1998,11,8,1998,11,8,18,24570,,"1,259,000","1,678,667",EM-DAT,,,,,
Ukraine,2001,3,4,2001,3,17,9,300000,,"15,000,000","18,518,519",EM-DAT,,,,,
Ukraine,2006,7,2,2006,7,3,2,5000,,"23,855,000","25,929,348",EM-DAT,,,,,
Ukraine,2008,7,26,2008,7,27,38,224725,,"1,000,000,000","1,010,101,010",EM-DAT,,,,,
Ukraine,2010,6,27,2010,7,2,6,40059,,"1,900,000","1,900,000",EM-DAT,,,,,
Ukraine,2013,9,14,2013,9,15,2,2260,,"21,000,000","19,626,168",EM-DAT,,,,,
"Ukraine, Slovakia, Romania, Hungary",1998,11,5,1998,11,23,16,,,"3,000,000","4,000,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
United Kingdom,1977,11,,1977,11,,6,0,,"1,000,000","3,571,429",EM-DAT,,,,,
United Kingdom,1993,1,23,1993,1,23,0,600,,"37,000,000","56,060,606",EM-DAT,,,,,
United Kingdom,1993,12,20,1993,12,31,4,0,,"150,000,000","227,272,727",EM-DAT,,,,,
United Kingdom,1994,1,7,1994,1,12,3,0,,"90,000,000","132,352,941",EM-DAT,,,,,
United Kingdom,1994,12,7,1994,12,12,4,700,,"146,000,000","214,705,882",EM-DAT,,,,,
United Kingdom,1997,7,1,1997,7,2,1,0,,"98,400,000","132,972,973",EM-DAT,,,,,
United Kingdom,1997,8,13,1997,8,13,0,0,,"150,000,000","202,702,703",EM-DAT,,,,,
United Kingdom,1998,4,9,1998,4,10,5,300,,"500,000,000","666,666,667",EM-DAT,,,,,
United Kingdom,1999,3,7,1999,3,13,0,330,,"32,680,000","43,000,000",EM-DAT,,,,,
United Kingdom,2000,6,,2000,6,,0,240,,"18,150,000","22,974,684",EM-DAT,,,,,
United Kingdom,2000,10,11,2000,10,14,0,1000,,"5,900,000,000","7,468,354,430",EM-DAT,,,,,
United Kingdom,2004,8,16,2004,8,17,0,1008,,"96,000,000","110,344,828",EM-DAT,,,,,
United Kingdom,2007,6,15,2007,6,21,1,200,,"448,000,000","471,578,947",EM-DAT,,,,,
United Kingdom,2007,7,20,2007,7,24,7,340000,,"750,000,000","789,473,684","EM-DAT,UK.GOV,http://riskinc.com/Publications/UK_Summer_2007_Floods.pdf",,,,,
United Kingdom,2008,9,6,2008,9,8,8,3000,,"3,000,000","3,030,303",EM-DAT,,,,,
United Kingdom,2009,11,19,2009,11,22,3,3900,,"484,000,000","493,877,551",EM-DAT,,,,,
United Kingdom,2012,6,10,2012,6,11,0,0,,"450,000,000","428,571,429",EM-DAT,,,,,
United Kingdom,2012,6,23,2012,6,24,1,0,,"785,000,000","747,619,048",EM-DAT,,,,,
United Kingdom,2012,9,23,2012,9,27,3,1500,,"81,000,000","77,142,857",EM-DAT,,,,,
United Kingdom,2012,11,21,2012,12,18,4,1700,,"1,630,000,000","1,552,380,952",EM-DAT,,,,,
United Kingdom,2013,12,27,2014,1,,2,600,,"1,500,000,000","1,376,146,789",EM-DAT,,,,,
United Kingdom,2014,1,,2014,2,,0,540,,"624,000,000","572,477,064",EM-DAT,,,,,
United States,1964,12,,1964,12,,45,,,"820,000,000","5,857,142,857",EM-DAT,,,,,
United States,1969,1,,1969,1,,115,,,"400,000,000","2,352,941,176",EM-DAT,,,,,
United States,1972,6,9,1972,6,9,237,3000,,"120,000,000","631,578,947",EM-DAT,,,,,
United States,1973,4,,1973,4,,23,0,,"500,000,000","2,500,000,000",EM-DAT,,,,,
United States,1976,7,31,1976,7,31,139,0,,"41,000,000","157,692,308",EM-DAT,,,,,
United States,1977,7,22,1977,7,22,76,2700,,"200,000,000","714,285,714",EM-DAT,,,,,
United States,1980,2,19,1980,2,19,36,106000,,"350,000,000","921,052,632",EM-DAT,,,,,
United States,1982,1,3,1982,1,3,0,0,,"33,900,000","77,045,455",EM-DAT,,,,,
United States,1983,4,,1983,4,,0,0,,"300,000,000","652,173,913",EM-DAT,,,,,
United States,1983,10,3,1983,10,3,10,0,,100000000,"217,391,304",EM-DAT,,,,,
United States,1984,4,,1984,4,,0,5500,,"35,000,000","72,916,667",EM-DAT,,,,,
United States,1984,6,,1984,6,,18,0,,"30,000,000","62,500,000",EM-DAT,,,,,
United States,1985,4,24,1985,4,24,0,400,,"400,000","816,327",EM-DAT,,,,,
United States,1986,,,1986,,,0,2000,,"25,000,000","50,000,000",EM-DAT,,,,,
United States,1990,1,9,1990,1,11,3,3000,,45000000,75000000,EM-DAT,,,,,
United States,1990,5,11,1990,5,19,13,,,"1,000,000,000",1666666667,Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
United States,1991,12,18,1992,1,10,15,0,,"850,000,000","1,328,125,000",EM-DAT,,,,,
United States,1993,1,6,1993,1,20,43,6000,,"100,000,000","151,515,152",EM-DAT,,,,,
United States,1993,6,27,1993,8,15,48,31000,,"12,000,000,000","18,181,818,182",EM-DAT,,,,,
United States,1995,5,7,1995,5,13,6,20000,,"3,000,000,000","4,285,714,286",EM-DAT,,,,,
United States,1995,5,10,1995,6,1,3,5000,,"10,000,000","14,285,714",EM-DAT,,,,,
United States,1995,7,2,1995,7,2,8,0,,"125,000,000","178,571,429",EM-DAT,,,,,
United States,1995,9,18,1995,10,16,0,300,,"10,000,000","14,285,714",EM-DAT,,,,,
United States,1995,11,28,1995,12,10,2,15000,,"100,000,000","142,857,143",EM-DAT,,,,,
United States,1996,7,18,1996,7,21,2,115,,"20,000,000","27,777,778",EM-DAT,,,,,
United States,1997,1,11,1997,1,11,20,125000,,"3,000,000,000","4,054,054,054","EM-DAT,U.S.GOV",,,,,
United States,1997,1,25,1997,1,25,0,0,,"245,000,000","331,081,081",EM-DAT,,,,,
United States,1997,3,8,1997,3,8,31,0,,"500,000,000","675,675,676",EM-DAT,,,,,
United States,1997,4,17,1997,5,7,3,50400,,"5,000,000,000","6,756,756,757",EM-DAT,,,,,
United States,1997,7,25,1997,8,1,5,424,,"100,000,000","135,135,135",EM-DAT,,,,,
United States,1998,3,7,1998,3,13,11,18000,,"270,000,000","360,000,000",EM-DAT,,,,,
United States,1998,6,13,1998,6,17,0,1000,,"200,500,000","267,333,333",EM-DAT,,,,,
United States,1998,8,4,1998,8,6,2,600,,"62,500,000","83,333,333",EM-DAT,,,,,
United States,1999,11,26,1999,11,28,0,100,,"300,000","394,737",EM-DAT,,,,,
